fecha,valor,completo_mediciones,completo_umbral
2017/02,64.70,100.0,100.0
2017/03,130.40,100.0,100.0
2017/04,105.30,100.0,100.0
2017/05,184.90,100.0,100.0
2017/06,106.70,100.0,100.0
2017/07,3.20,100.0,100.0
2017/08,37.90,100.0,100.0
2017/09,22.80,100.0,100.0
2017/10,159.70,100.0,100.0
2017/11,55.10,100.0,100.0
2017/12,199.30,100.0,100.0
2018/01,77.10,100.0,100.0
2018/02,140.80,100.0,100.0
2018/03,106.40,100.0,100.0
2018/04,127.60,100.0,100.0
2018/05,169.00,100.0,100.0
2018/06,13.70,100.0,100.0
2018/07,38.40,100.0,100.0
2018/08,16.70,100.0,100.0
2018/09,91.50,98.4,96.7
2018/10,30.40,98.4,96.8
2018/11,289.80,100.0,100.0
2018/12,3.80,100.0,100.0
2019/01,72.80,100.0,100.0
2019/02,213.80,100.0,100.0
2019/03,208.90,100.0,100.0
2019/04,196.90,100.0,100.0
2019/05,,76.3,71.0
2019/06,14.50,90.3,90.0
2019/07,24.70,99.9,100.0
2019/08,2.80,99.9,100.0
2019/09,73.10,99.9,100.0
2019/10,78.00,99.7,100.0
2019/11,251.00,100.0,100.0
2019/12,201.00,100.0,100.0
2020/01,94.70,99.9,100.0
2020/02,181.70,99.2,96.6
2020/03,175.20,99.4,100.0
2020/04,162.50,99.6,100.0
2020/05,125.30,90.1,90.3
2020/06,60.90,83.6,83.3
2020/07,41.50,97.8,100.0
2020/08,78.00,98.6,100.0
2020/09,42.00,96.4,96.7
2020/10,81.70,94.6,100.0
2020/11,129.00,93.8,100.0
2020/12,135.90,94.9,100.0
2021/01,67.90,98.7,100.0
2021/02,118.40,99.5,100.0
2021/03,,65.7,64.5
2021/04,267.70,99.5,100.0
2021/05,177.30,99.5,100.0
2021/06,101.20,99.5,100.0
2021/07,17.90,99.9,100.0
2021/08,,71.0,71.0
2021/09,131.20,96.2,96.7
2021/10,308.60,99.6,100.0
2021/11,140.70,99.5,100.0
2021/12,209.10,99.4,100.0
2022/01,160.80,99.4,100.0
2022/02,183.30,99.5,100.0
2022/03,266.90,98.7,100.0
2022/04,195.40,98.9,100.0
2022/05,147.30,99.5,100.0
2022/06,130.90,98.7,96.7
2022/07,44.60,97.9,96.8
2022/08,13.00,99.7,100.0
2022/09,29.60,99.8,100.0
2022/10,130.40,94.4,83.9
2022/11,63.60,98.5,96.7
2022/12,72.70,100.0,100.0
2023/01,,81.8,64.5
2023/02,82.90,95.5,92.9
2023/03,,72.9,51.6
2023/04,167.80,100.0,100.0
2023/05,144.70,100.0,100.0
2023/06,23.10,100.0,100.0
2023/07,76.80,100.0,100.0
2023/08,32.10,100.0,100.0
2023/09,45.50,99.1,96.7
2023/10,175.80,100.0,100.0
2023/11,,19.3,16.7
2023/12,,0.0,0.0
2024/01,,0.0,0.0
2024/02,,0.0,0.0
2024/03,,0.0,0.0
2024/04,,67.6,36.7
2024/05,,77.3,25.8
2024/06,,69.6,0.0
2024/07,,80.8,29.0
2024/08,,38.4,35.5
2024/09,44.00,100.0,100.0
2024/10,109.10,100.0,100.0
2024/11,20.20,100.0,100.0
2024/12,273.70,94.4,83.9
2025/01,95.40,94.2,83.9
